Method,doub_rt,Perf
FCNN-3,0.0,0.9834
GNN-4,0.0,0.9123
Greedy,0.0,0.9574
SCITE,0.0,1.0
FCNN-3,0.0,1.0
GNN-4,0.0,0.9712
Greedy,0.0,1.0
SCITE,0.0,1.0
FCNN-3,0.0,1.0
GNN-4,0.0,0.96
Greedy,0.0,1.0
SCITE,0.0,1.0
FCNN-3,0.0,0.9091
GNN-4,0.0,0.9927
Greedy,0.0,1.0
SCITE,0.0,1.0
FCNN-3,0.0,1.0
GNN-4,0.0,0.9959
Greedy,0.0,0.9883
SCITE,0.0,1.0
FCNN-3,0.0,0.9732
GNN-4,0.0,0.9318
Greedy,0.0,0.9706
SCITE,0.0,1.0
FCNN-3,0.0,0.9383
GNN-4,0.0,1.0
Greedy,0.0,0.9383
SCITE,0.0,1.0
FCNN-3,0.0,0.802
GNN-4,0.0,0.9666
Greedy,0.0,0.9187
SCITE,0.0,1.0
FCNN-3,0.0,1.0
GNN-4,0.0,1.0
Greedy,0.0,0.9783
SCITE,0.0,1.0
FCNN-3,0.0,1.0
GNN-4,0.0,1.0
Greedy,0.0,1.0
SCITE,0.0,1.0
FCNN-3,0.0,0.9428
GNN-4,0.0,0.9507
Greedy,0.0,0.9428
SCITE,0.0,1.0
FCNN-3,0.0,1.0
GNN-4,0.0,0.9643
Greedy,0.0,1.0
SCITE,0.0,1.0
FCNN-3,0.0,1.0
GNN-4,0.0,0.9397
Greedy,0.0,1.0
SCITE,0.0,1.0
FCNN-3,0.0,0.9822
GNN-4,0.0,0.8806
Greedy,0.0,0.9822
SCITE,0.0,1.0
FCNN-3,0.0,1.0
GNN-4,0.0,1.0
Greedy,0.0,1.0
SCITE,0.0,1.0
FCNN-3,0.0,1.0
GNN-4,0.0,0.9776
Greedy,0.0,0.9805
SCITE,0.0,1.0
FCNN-3,0.0,0.925
GNN-4,0.0,0.9725
Greedy,0.0,0.9725
SCITE,0.0,1.0
FCNN-3,0.0,0.9559
GNN-4,0.0,0.8338
Greedy,0.0,0.9411
SCITE,0.0,1.0
FCNN-3,0.0,0.9712
GNN-4,0.0,0.9712
Greedy,0.0,0.9547
SCITE,0.0,1.0
FCNN-3,0.0,1.0
GNN-4,0.0,1.0
Greedy,0.0,0.962
SCITE,0.0,1.0
FCNN-3,0.0,1.0
GNN-4,0.0,0.9703
Greedy,0.0,0.8741
SCITE,0.0,1.0
FCNN-3,0.0,1.0
GNN-4,0.0,0.9714
Greedy,0.0,0.8586
SCITE,0.0,1.0
FCNN-3,0.0,1.0
GNN-4,0.0,0.8018
Greedy,0.0,1.0
SCITE,0.0,1.0
FCNN-3,0.0,0.9617
GNN-4,0.0,0.877
Greedy,0.0,0.9193
SCITE,0.0,1.0
FCNN-3,0.0,0.9666
GNN-4,0.0,0.9788
Greedy,0.0,0.9
SCITE,0.0,1.0
FCNN-3,0.0,1.0
GNN-4,0.0,1.0
Greedy,0.0,1.0
SCITE,0.0,1.0
FCNN-3,0.0,1.0
GNN-4,0.0,1.0
Greedy,0.0,1.0
SCITE,0.0,1.0
FCNN-3,0.0,0.8548
GNN-4,0.0,0.939
Greedy,0.0,0.7706
SCITE,0.0,1.0
FCNN-3,0.0,1.0
GNN-4,0.0,0.8372
Greedy,0.0,1.0
SCITE,0.0,1.0
FCNN-3,0.0,0.8772
GNN-4,0.0,0.9197
Greedy,0.0,0.8772
SCITE,0.0,1.0
FCNN-3,0.0,0.9601
GNN-4,0.0,1.0
Greedy,0.0,1.0
SCITE,0.0,1.0
FCNN-3,0.0,0.9723
GNN-4,0.0,0.9525
Greedy,0.0,0.9723
SCITE,0.0,1.0
FCNN-3,0.0,1.0
GNN-4,0.0,0.851
Greedy,0.0,0.9027
SCITE,0.0,1.0
FCNN-3,0.0,1.0
GNN-4,0.0,0.9461
Greedy,0.0,0.786
SCITE,0.0,1.0
FCNN-3,0.0,0.9646
GNN-4,0.0,0.9351
Greedy,0.0,0.9687
SCITE,0.0,1.0
FCNN-3,0.0,0.9758
GNN-4,0.0,0.9628
Greedy,0.0,0.9758
SCITE,0.0,1.0
FCNN-3,0.0,1.0
GNN-4,0.0,0.8481
Greedy,0.0,0.7927
SCITE,0.0,1.0
FCNN-3,0.0,1.0
GNN-4,0.0,1.0
Greedy,0.0,1.0
SCITE,0.0,1.0
FCNN-3,0.0,1.0
GNN-4,0.0,0.9703
Greedy,0.0,1.0
SCITE,0.0,1.0
FCNN-3,0.0,1.0
GNN-4,0.0,1.0
Greedy,0.0,1.0
SCITE,0.0,1.0
FCNN-3,0.0,1.0
GNN-4,0.0,0.9238
Greedy,0.0,0.8199
SCITE,0.0,1.0
FCNN-3,0.0,1.0
GNN-4,0.0,0.8848
Greedy,0.0,1.0
SCITE,0.0,1.0
FCNN-3,0.0,1.0
GNN-4,0.0,0.9908
Greedy,0.0,0.8988
SCITE,0.0,1.0
FCNN-3,0.0,1.0
GNN-4,0.0,0.9215
Greedy,0.0,0.9654
SCITE,0.0,1.0
FCNN-3,0.0,0.9288
GNN-4,0.0,0.9682
Greedy,0.0,0.8743
SCITE,0.0,1.0
FCNN-3,0.0,1.0
GNN-4,0.0,1.0
Greedy,0.0,1.0
SCITE,0.0,1.0
FCNN-3,0.0,0.9441
GNN-4,0.0,0.7536
Greedy,0.0,0.7682
SCITE,0.0,1.0
FCNN-3,0.0,0.7432
GNN-4,0.0,0.9243
Greedy,0.0,0.7469
SCITE,0.0,1.0
FCNN-3,0.0,1.0
GNN-4,0.0,0.9432
Greedy,0.0,0.9653
SCITE,0.0,1.0
FCNN-3,0.0,0.9563
GNN-4,0.0,0.9928
Greedy,0.0,0.8513
SCITE,0.0,1.0
FCNN-3,0.0,1.0
GNN-4,0.0,0.9848
Greedy,0.0,0.9282
SCITE,0.0,1.0
FCNN-3,0.0,1.0
GNN-4,0.0,0.9908
Greedy,0.0,1.0
SCITE,0.0,1.0
FCNN-3,0.0,0.7893
GNN-4,0.0,0.8875
Greedy,0.0,0.7893
SCITE,0.0,1.0
FCNN-3,0.0,1.0
GNN-4,0.0,0.9911
Greedy,0.0,0.9639
SCITE,0.0,1.0
FCNN-3,0.0,1.0
GNN-4,0.0,1.0
Greedy,0.0,1.0
SCITE,0.0,1.0
FCNN-3,0.0,1.0
GNN-4,0.0,0.9871
Greedy,0.0,1.0
SCITE,0.0,1.0
FCNN-3,0.0,0.9855
GNN-4,0.0,0.8544
Greedy,0.0,0.9209
SCITE,0.0,1.0
FCNN-3,0.0,1.0
GNN-4,0.0,1.0
Greedy,0.0,0.9543
SCITE,0.0,1.0
FCNN-3,0.0,0.9602
GNN-4,0.0,0.9934
Greedy,0.0,0.9115
SCITE,0.0,1.0
FCNN-3,0.0,0.7976
GNN-4,0.0,0.9353
Greedy,0.0,0.7661
SCITE,0.0,1.0
FCNN-3,0.0,1.0
GNN-4,0.0,0.963
Greedy,0.0,1.0
SCITE,0.0,1.0
FCNN-3,0.0,1.0
GNN-4,0.0,0.9599
Greedy,0.0,1.0
SCITE,0.0,1.0
FCNN-3,0.0,1.0
GNN-4,0.0,0.9474
Greedy,0.0,1.0
SCITE,0.0,1.0
FCNN-3,0.0,1.0
GNN-4,0.0,0.8946
Greedy,0.0,0.9545
SCITE,0.0,1.0
FCNN-3,0.0,0.9106
GNN-4,0.0,0.8132
Greedy,0.0,0.7529
SCITE,0.0,1.0
FCNN-3,0.0,0.9609
GNN-4,0.0,0.8965
Greedy,0.0,0.9138
SCITE,0.0,1.0
FCNN-3,0.0,1.0
GNN-4,0.0,0.9871
Greedy,0.0,1.0
SCITE,0.0,1.0
FCNN-3,0.0,1.0
GNN-4,0.0,0.9706
Greedy,0.0,1.0
SCITE,0.0,1.0
FCNN-3,0.0,0.9765
GNN-4,0.0,1.0
Greedy,0.0,0.9765
SCITE,0.0,1.0
FCNN-3,0.0,0.9722
GNN-4,0.0,0.9302
Greedy,0.0,0.9722
SCITE,0.0,1.0
FCNN-3,0.0,0.9905
GNN-4,0.0,0.9499
Greedy,0.0,0.797
SCITE,0.0,1.0
FCNN-3,0.0,0.7276
GNN-4,0.0,0.9686
Greedy,0.0,0.6974
SCITE,0.0,1.0
FCNN-3,0.0,1.0
GNN-4,0.0,0.9843
Greedy,0.0,1.0
SCITE,0.0,1.0
FCNN-3,0.0,0.9498
GNN-4,0.0,0.816
