Method,Horizon,Perf
GNN-4,36,0.9711
FCNN-3,36,0.9552
GNN-4,36,0.9199
FCNN-3,36,1.0
GNN-4,36,0.9897
FCNN-3,36,1.0
GNN-4,36,0.9779
FCNN-3,36,0.977
GNN-4,36,0.9373
FCNN-3,36,0.9291
GNN-4,36,0.9096
FCNN-3,36,1.0
GNN-4,36,1.0
FCNN-3,36,0.8971
GNN-4,36,1.0
FCNN-3,36,0.9832
GNN-4,36,0.8984
FCNN-3,36,0.9762
GNN-4,36,1.0
FCNN-3,36,1.0
GNN-4,36,0.9654
FCNN-3,36,0.9815
GNN-4,36,0.9787
FCNN-3,36,1.0
GNN-4,36,0.9757
FCNN-3,36,0.8883
GNN-4,36,0.7542
FCNN-3,36,1.0
GNN-4,36,1.0
FCNN-3,36,0.8981
GNN-4,36,1.0
FCNN-3,36,1.0
GNN-4,36,0.9046
FCNN-3,36,1.0
GNN-4,36,1.0
FCNN-3,36,1.0
GNN-4,36,0.9353
FCNN-3,36,0.9049
GNN-4,36,0.9789
FCNN-3,36,1.0
GNN-4,36,0.9611
FCNN-3,36,1.0
GNN-4,36,0.8812
FCNN-3,36,0.9882
GNN-4,36,0.9324
FCNN-3,36,1.0
GNN-4,36,1.0
FCNN-3,36,1.0
GNN-4,36,1.0
FCNN-3,36,1.0
GNN-4,36,1.0
FCNN-3,36,1.0
GNN-4,36,1.0
FCNN-3,36,0.8566
GNN-4,36,0.9836
FCNN-3,36,1.0
GNN-4,36,1.0
FCNN-3,36,1.0
GNN-4,36,1.0
FCNN-3,36,1.0
GNN-4,36,0.9102
FCNN-3,36,1.0
GNN-4,36,1.0
FCNN-3,36,0.989
GNN-4,36,0.9612
FCNN-3,36,0.8624
GNN-4,36,0.9343
FCNN-3,36,1.0
GNN-4,36,0.9836
FCNN-3,36,0.9282
GNN-4,36,1.0
FCNN-3,36,0.8344
GNN-4,36,0.8344
FCNN-3,36,1.0
GNN-4,36,1.0
FCNN-3,36,1.0
GNN-4,36,0.9763
FCNN-3,36,0.9472
GNN-4,36,0.9065
FCNN-3,36,1.0
GNN-4,36,0.9724
FCNN-3,36,1.0
GNN-4,36,0.9894
FCNN-3,36,1.0
GNN-4,36,0.8853
FCNN-3,36,1.0
GNN-4,36,0.9822
FCNN-3,36,0.9135
GNN-4,36,0.8092
FCNN-3,36,1.0
GNN-4,36,1.0
FCNN-3,36,1.0
GNN-4,36,1.0
FCNN-3,36,1.0
GNN-4,36,1.0
FCNN-3,36,0.9919
GNN-4,36,0.9919
FCNN-3,36,0.8271
GNN-4,36,0.6114
FCNN-3,36,0.9008
GNN-4,36,0.729
FCNN-3,36,0.9863
GNN-4,36,0.779
FCNN-3,36,0.8456
GNN-4,36,0.9483
FCNN-3,36,1.0
GNN-4,36,1.0
FCNN-3,36,0.9687
GNN-4,36,1.0
FCNN-3,36,1.0
GNN-4,36,0.9582
FCNN-3,36,0.9156
GNN-4,36,0.961
FCNN-3,36,1.0
GNN-4,36,1.0
FCNN-3,36,0.9541
GNN-4,36,0.9806
FCNN-3,36,0.9452
GNN-4,36,0.8891
FCNN-3,48,1.0
GNN-4,48,0.9773
FCNN-3,48,1.0
GNN-4,48,0.7849
FCNN-3,48,1.0
GNN-4,48,0.9853
FCNN-3,48,1.0
GNN-4,48,1.0
FCNN-3,48,1.0
GNN-4,48,1.0
FCNN-3,48,1.0
GNN-4,48,0.9008
FCNN-3,48,1.0
GNN-4,48,1.0
FCNN-3,48,0.9584
GNN-4,48,0.9749
FCNN-3,48,0.937
GNN-4,48,0.885
FCNN-3,48,1.0
GNN-4,48,0.9975
FCNN-3,48,0.9328
GNN-4,48,1.0
FCNN-3,48,0.9901
GNN-4,48,1.0
FCNN-3,48,0.9664
GNN-4,48,0.9316
FCNN-3,48,0.9686
GNN-4,48,1.0
FCNN-3,48,1.0
GNN-4,48,1.0
FCNN-3,48,1.0
GNN-4,48,0.9279
FCNN-3,48,1.0
GNN-4,48,0.6974
FCNN-3,48,1.0
GNN-4,48,1.0
FCNN-3,48,1.0
GNN-4,48,0.8741
FCNN-3,48,1.0
GNN-4,48,1.0
FCNN-3,48,0.9892
GNN-4,48,0.9638
FCNN-3,48,1.0
GNN-4,48,0.9905
FCNN-3,48,1.0
GNN-4,48,1.0
FCNN-3,48,1.0
GNN-4,48,1.0
FCNN-3,48,1.0
GNN-4,48,1.0
FCNN-3,48,1.0
GNN-4,48,1.0
FCNN-3,48,1.0
GNN-4,48,1.0
FCNN-3,48,0.9851
GNN-4,48,0.9179
FCNN-3,48,1.0
GNN-4,48,1.0
FCNN-3,48,0.7681
GNN-4,48,0.7683
FCNN-3,48,1.0
GNN-4,48,1.0
FCNN-3,48,1.0
GNN-4,48,0.9822
FCNN-3,48,1.0
GNN-4,48,1.0
FCNN-3,48,1.0
GNN-4,48,1.0
FCNN-3,48,1.0
GNN-4,48,0.9958
FCNN-3,48,1.0
GNN-4,48,1.0
FCNN-3,48,1.0
GNN-4,48,0.9941
FCNN-3,48,1.0
GNN-4,48,0.6454
FCNN-3,48,0.9725
GNN-4,48,1.0
FCNN-3,48,1.0
GNN-4,48,0.7692
FCNN-3,48,1.0
GNN-4,48,0.9711
FCNN-3,48,0.9552
GNN-4,48,0.9199
FCNN-3,48,1.0
GNN-4,48,0.9897
FCNN-3,48,1.0
GNN-4,48,0.9779
FCNN-3,48,0.977
GNN-4,48,0.9373
FCNN-3,48,0.9291
GNN-4,48,0.9096
FCNN-3,48,1.0
GNN-4,48,1.0
FCNN-3,48,0.8971
GNN-4,48,1.0
FCNN-3,48,0.9832
GNN-4,48,0.8984
FCNN-3,48,0.9762
GNN-4,48,1.0
FCNN-3,48,1.0
GNN-4,48,0.9654
FCNN-3,48,0.9815
GNN-4,48,0.9787
FCNN-3,48,1.0
GNN-4,48,0.9757
FCNN-3,48,0.8883
GNN-4,48,0.7542
FCNN-3,48,1.0
GNN-4,48,1.0
FCNN-3,48,0.8981
GNN-4,48,1.0
FCNN-3,48,1.0
GNN-4,48,0.9046
FCNN-3,48,1.0
GNN-4,48,1.0
FCNN-3,48,1.0
GNN-4,48,0.9353
FCNN-3,48,0.9049
GNN-4,48,0.9789
FCNN-3,48,1.0
GNN-4,48,0.9611
FCNN-3,48,1.0
GNN-4,48,0.8812
FCNN-3,48,0.9882
GNN-4,48,0.9324
FCNN-3,48,1.0
GNN-4,48,1.0
FCNN-3,48,1.0
GNN-4,48,1.0
FCNN-3,48,1.0
GNN-4,48,1.0
FCNN-3,48,1.0
GNN-4,48,1.0
FCNN-3,48,0.8566
GNN-4,48,0.9836
FCNN-3,48,1.0
GNN-4,48,1.0
FCNN-3,48,1.0
GNN-4,48,1.0
FCNN-3,48,1.0
GNN-4,48,0.9102
FCNN-3,48,1.0
GNN-4,48,1.0
FCNN-3,48,0.989
GNN-4,48,0.9612
FCNN-3,48,0.8624
GNN-4,48,0.9343
FCNN-3,48,1.0
GNN-4,48,0.9836
FCNN-3,48,0.9282
GNN-4,48,1.0
FCNN-3,48,0.8344
GNN-4,48,0.8344
FCNN-3,48,1.0
GNN-4,48,1.0
FCNN-3,48,1.0
GNN-4,48,0.9763
FCNN-3,48,0.9472
GNN-4,48,0.9065
FCNN-3,48,1.0
GNN-4,48,0.9724
FCNN-3,48,1.0
GNN-4,48,0.9894
FCNN-3,48,1.0
GNN-4,48,0.8853
FCNN-3,48,1.0
GNN-4,48,0.9822
FCNN-3,48,0.9135
GNN-4,48,0.8092
FCNN-3,48,1.0
GNN-4,48,1.0
FCNN-3,48,1.0
GNN-4,48,1.0
FCNN-3,48,1.0
GNN-4,48,1.0
FCNN-3,48,0.9919
GNN-4,48,0.9919
FCNN-3,48,0.8271
GNN-4,48,0.6114
FCNN-3,48,0.9008
GNN-4,48,0.729
FCNN-3,48,0.9863
GNN-4,48,0.779
FCNN-3,48,0.8456
GNN-4,48,0.9483
FCNN-3,48,1.0
GNN-4,48,1.0
FCNN-3,48,0.9687
GNN-4,48,1.0
FCNN-3,48,1.0
GNN-4,48,0.9582
FCNN-3,48,0.9156
GNN-4,48,0.961
FCNN-3,48,1.0
GNN-4,48,1.0
FCNN-3,48,0.9541
GNN-4,48,0.9806
FCNN-3,48,0.9452
GNN-4,48,0.8891
